"pid","tid","name","Final Correctness"
"52","1","Number HRD","1"
"106","2","Rectangle","1"
"103","2","Insertion Sort","0"
"53","2","Number HRN","1"
"84","2","Calculation","1"
"78","2","Graph Utils","0"
"101","2","Money Class","1"
"104","2","Number Checker","1"
"97","3","Rectangle","0"
"66","3","Graph Utils","1"
"53","1","Graph Utils","0"
"75","3","Graph Utils","0"
"76","2","Graph Utils","1"
"49","3","Graph Utils","0"
"58","2","Graph Utils","1"
"86","4","Calculation","0"
"52","2","Number HRN","1"
"94","3","Insertion Sort","1"
"45","3","Number HRN","1"
"51","3","Number HRN","1"
"58","1","Number HRN","1"
"59","3","Number HRN","1"
"60","1","Number HRN","1"
"69","1","Number HRN","1"
"77","1","Number HRN","1"
"82","3","Number HRN","1"
"83","3","Rectangle","1"
"84","1","Rectangle","1"
"83","1","Money Class","1"
"86","3","Rectangle","1"
"86","1","Money Class","0"
"93","1","Rectangle","0"
"105","1","Rectangle","1"
"90","4","Rectangle","1"
"70","2","Number HRN","0"
"71","1","Number HRD","1"
"95","4","Insertion Sort","0"
"98","4","Rectangle","0"
"48","3","Graph Utils","0"
"51","1","Graph Utils","0"
"52","3","Graph Utils","0"
"56","2","Graph Utils","0"
"59","1","Graph Utils","0"
"83","2","Calculation","1"
"88","4","Calculation","1"
"90","1","Calculation","1"
"93","2","Calculation","1"
"104","3","Calculation","1"
"106","4","Calculation","1"
"84","3","Money Class","1"
"86","2","Number Checker","0"
"89","3","Insertion Sort","1"
"89","4","Number Checker","1"
"40","2","Graph Utils","1"
"46","3","Graph Utils","1"
"47","2","Graph Utils","0"
"85","3","Calculation","0"
"85","3","Rectangle","0"
"92","1","Money Class","1"
"92","2","Insertion Sort","0"
"93","4","Number Checker","1"
"97","1","Insertion Sort","1"
"99","2","Money Class","1"
"101","1","Number Checker","1"
"104","1","Money Class","1"
"105","2","Insertion Sort","1"
"105","3","Money Class","1"
"105","4","Number Checker","1"
"85","2","Rectangle","1"
"97","2","Number Checker","1"
"99","3","Rectangle","1"
"68","2","Number HRN","1"
"103","3","Money Class","1"
"41","3","Number HRD","1"
"45","2","Number HRD","1"
"47","3","Number HRD","1"
"54","1","Number HRN","0"
"54","3","Number HRD","0"
"58","3","Number HRD","1"
"63","3","Number HRN","1"
"64","3","Number HRD","0"
"67","2","Number HRN","0"
"68","1","Number HRD","1"
"72","3","Number HRN","0"
"75","1","Number HRD","1"
"76","3","Number HRD","1"
"77","2","Number HRD","1"
"89","2","Rectangle","1"
"41","2","Number HRN","0"
"47","1","Number HRN","0"
"55","1","Number HRD","0"
"78","3","Number HRN","1"
"51","2","Number HRD","0"
"76","1","Number HRN","1"
"46","1","Number HRN","0"
"94","4","Rectangle","1"
"101","3","Rectangle","0"
"88","2","Insertion Sort","0"
"56","1","Number HRN","0"
"97","4","Calculation","0"
"103","1","Number Checker","1"
"89","1","Calculation","1"
"92","4","Number Checker","1"
"94","2","Number Checker","1"
"90","3","Insertion Sort","1"
"55","2","Number HRN","0"
"74","1","Graph Utils","0"
"49","1","Number HRD","1"
"65","2","Number HRD","0"
"101","4","Calculation","1"
"64","1","Graph Utils","0"
"96","2","Money Class","1"
"57","3","Number HRD","1"
"48","1","Number HRD","1"
"74","3","Number HRD","1"